"UBCF","PAM","IBCF","POP","content","real"
4.5069975049494,3.54545454545455,4.60209245498293,4.32489185869631,4.45054945054945,5
3.54545454545455,3,5,3.28326623984587,3.84,4
3.79026217228464,4,4.1,4.50539204530498,3.92307692307692,4
3.55555555555556,3.75,2.80242829619397,3.33610784879728,1.92682926829268,2
4.23497705574162,4.2,4.27095557349451,4.25070611593324,4.28,5
3.16981336718225,3,2.90488213223659,3.19458782580476,3.28402546226129,3
2.8249668510231,3.13333333333333,3.37081399138528,2.38066086908722,2.75091066782307,5
3.05239905191701,3.25,3.36388951240257,3.21667206422358,2.96318061885344,2
4.22716963214544,4.33333333333333,4.543958925617,4.23619155591748,3.07542857142857,4
2.76470588235294,4.25,2.84298543332859,2.85582624151159,2,4
4.06756756756757,4,5,4.0028917416655,4.92665036674817,4
3.78137556002324,3.75,3.8558348253329,3.32532182686922,2.60717860320285,4
4.02768129722772,4.08333333333333,4.31502094663943,4.21643422858676,4.00671140939597,4
3.71913580246914,4,4.1,4.43426567548947,3.64363636363636,5
3.82304115886065,3.83333333333333,3.49657035435618,3.6795554205153,3.71785870996051,2
3.69733511789275,2.66666666666667,4.0935931345429,3.49126509038778,3.94230769230769,1
3.82237529971511,3,3.44178673748162,3.23979466597583,3.18558456299659,3
3.54215988514396,4.4,4.35674069707464,4.01727053344906,3.70481927710843,5
3.96571784044661,3.66666666666667,3.95619219821195,3.97132720224454,3.92307692307692,5
2.71713996449541,3.55769230769231,2.74142486256792,2.9390893351052,2.89169675090253,3
3.78,4,3.94153828874758,3.5358168756996,3.9822695035461,4
4.10258914957408,4.5,4.37261803953537,4.31291388586155,4.19117647058824,5
3.4404945567067,3.5,3.20020346490439,3.74977140551185,3.89763779527559,3
3.48958092601787,3.33333333333333,3.79824046938927,3.64852150424106,3.94300518134715,4
3.59104637701994,3.53757225433526,4.06860990335182,3.41289521238781,3.12941669870339,3
3.52380952380952,2.42857142857143,2.70033401391893,2.68743281528301,3.09090909090909,1
4.26843156881127,4.66666666666667,4.59656793007388,4.85181580726627,3.99287510477787,5
3.15010118473513,3,3.20709564691658,3.02414251919888,3.0643977310644,3
3.39537243953894,4.25,3.36912112417881,3.89047268439684,3.44578313253012,3
3.40309821201856,4,3.76660068615206,3.85746120963899,2.46734305643627,3
3.3747757536247,5,3.98721669918505,3.87330279379741,3.04545454545455,4
3.44587115665863,3.66666666666667,3.35173994708941,3.65792985642262,2.27487765089723,4
3.64451824399229,3.44444444444444,4.3703685695059,3.75718829345407,4.35099337748344,3
3.11111111111111,2,2.18181818181818,1.8046132401744,2.99683381063342,1
1.54,1.54,1,1,1.19894366197183,1
3.41690630854647,3.42857142857143,3.41800670443821,3.22381527428842,2.12751677852349,3
3.56289777784687,3.8,3.84702828472095,3.37606119600349,4,3
3.8625,4,4.86993351507958,4.48245896416929,3.43769264641127,5
3.48734466797912,4.5,3.61019144762872,3.78779252435274,3.39007092198582,3
3.60373528823107,4,4.02318908690651,3.56628475388275,4.07142857142857,5
3.07242282444857,3.14285714285714,3.65150954954403,2.9078270772228,3.12267867191896,2
3.5,3.42857142857143,3.70775272729542,3.60064992605437,2.75,3
3.07862340907276,3,3.15270457930989,2.85281088371443,3.6,3
3.64942408315286,4.24,4.39522186197611,3.93009197040998,3.17678611038293,5
3.86516853932584,3.64705882352941,3.4313124135011,3.78151939600539,3.91159772911598,4
3.4853881619732,3.55555555555556,4.04724958429805,3.4817646148606,3.51575456053068,3
4.47058823529412,4,4.24387655078855,4.792588173782,4.75,3
2.4133138278986,3.05555555555556,3.15179664047632,2.7028388220633,3.80327868852459,3
4.34545454545455,3.15789473684211,3.28571428571429,4.07094860103958,4.51785714285714,5
3.04347826086957,2.6,3.50166996733858,2.06498489794569,3.65467625899281,3
3.18495830531853,3,3.23772926589809,3.03689722023369,2.7250341997264,4
4.02889918764597,3.83333333333333,4.12500527848214,4.35562111744737,3.93181818181818,5
2.86657532120188,4,2.39262819113233,3.14232764456181,1.04452054794521,2
